,Id,Name,Sort,Nodes
10,DEAI93C,德國NUK,11,"[{'Id': 'DEAIYL', 'Name': '&#9658;NUK嬰用品全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQQ', 'Name': 'NUK 奶瓶奶嘴配件', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQR', 'Name': 'NUK 生活用品', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQP', 'Name': 'NUK 安撫用品/配件', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQS', 'Name': 'NUK 清潔保養', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
11,DEAI01C,優生US baby,12,"[{'Id': 'DEAIVO', 'Name': '■優生 寶寶用品', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI8C', 'Name': '■喜多 寶寶用品', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI01', 'Name': '■培寶 寶寶用品', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI02', 'Name': '■濕紙巾全系列', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
12,DEAI51C,荷蘭NUNA,13,"[{'Id': 'DEAINH', 'Name': '&#9658;荷蘭NUNA全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI2T', 'Name': '├NUNA居家生活', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIS0', 'Name': '├NUNA外出用品', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
13,DEAI61C,美國 Nuby,14,"[{'Id': 'DEAIVM', 'Name': '&#9658;美國Nuby全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIHT', 'Name': '├Nuby哺育用品', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIHU', 'Name': '├Nuby生活用品', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIHV', 'Name': '├Nuby清潔洗劑', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIGX', 'Name': '├Nuby居家外出', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
14,DEAI58C,KU.KU 酷咕鴨&raquo;,15,"[{'Id': 'DEAIVR', 'Name': '■KU.KU酷咕鴨全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIH9', 'Name': '├KU.KU酷咕鴨 哺育用品', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIHC', 'Name': '├KU.KU酷咕鴨 清潔洗沐', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIHG', 'Name': '├KU.KU酷咕鴨 生活用品', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIHB', 'Name': '├KU.KU酷咕鴨 棉織物/寢具', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
15,DEAI91C,PUKU藍色企鵝,16,"[{'Id': 'DEAIXM', 'Name': '&#9658;PUKU藍色企鵝全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIB7', 'Name': '├ PUKU哺育/離乳', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAINE', 'Name': '├ PUKU清潔/保養', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAITL', 'Name': '├ PUKU紡品/睡寢', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIDM', 'Name': '├ PUKU外出用品', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
16,DEAI85C,AVENT 新安怡,17,"[{'Id': 'DEAI3U', 'Name': '&#9658;AVENT新安怡全系列 ', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIUR', 'Name': ' ├AVENT電器/吸乳器', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIUM', 'Name': '├AVENT奶瓶/奶嘴', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
17,DEAI79C,日本Hoppetta,18,"[{'Id': 'DEAIVE', 'Name': '&#9658;日本Hoppetta全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIRH', 'Name': '├六層紗防踢被', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIUT', 'Name': '├六層紗蓋毯被', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIRI', 'Name': '├枕類/紗布巾/浴巾', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIRJ', 'Name': '├外出/餐具/玩偶  ', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQO', 'Name': '├Hoppetta彌月禮', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
18,DEAI92C,▌育嬰電器 ▌,19,"[{'Id': 'DECHCO00', 'Name': '■奶瓶電子消毒鍋', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCS00', 'Name': '■智能哺育電器', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCP00', 'Name': '■溫奶器 /食物加熱機', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCR00', 'Name': '■副食品調理棒/機', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHAX00', 'Name': '■調乳器 /泡奶機', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH4501', 'Name': '■電動/手動吸乳器 ', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH6Q01', 'Name': '■尿布處理器 ', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHAZ00', 'Name': '■空氣清淨設備', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
19,DEAI08C,▌奶瓶 奶嘴 ▌ ,20,"[{'Id': 'DECHCQ00', 'Name': '■奶瓶全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIV202', 'Name': '■貝親 奶瓶奶嘴', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI8401', 'Name': '■小獅王 奶瓶奶嘴', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI8M03', 'Name': '■nac nac 奶瓶奶嘴', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQQ01', 'Name': '■德國NUK 奶瓶奶嘴', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIH902', 'Name': '■KUKU酷咕鴨 奶瓶奶嘴', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIX8', 'Name': '■COMOTOMO矽膠奶瓶', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIY1', 'Name': '■PHILIPS 香草奶嘴', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIXU', 'Name': '■丹麥BIBS奶嘴', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAII0', 'Name': '■nanob&#233;b&#233; 哺育用品', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
